CNPJ_Fundo_Classe;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
53.087.126/0001-01;2025-07-01;1;90892.53;0;0;0;90892.53;10272264.47;10272264.47;0;0;0;0;10272264.47;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3342856.36;0;3335241.97;7614.39;0;60000;0;100000;0;0;0;0;0;123678.46;283678.46
53.087.126/0001-01;2025-08-01;1;50055225.32;0;0;0;50055225.32;10191959.4;10191959.4;0;0;0;0;10191959.4;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;3652971.11;0;3646851.14;6119.97;0;15000;0;100000;0;0;0;0;0;90051.08;205051.08
53.087.126/0001-01;2025-09-01;1;1326201.81;0;0;0;1326201.81;59166571.03;10191959.4;0;10191959.4;0;0;0;0;0;0;0;0;;0;0;48974611.63;0;0;0;0;0;0;;0;0;;0;0;0;3644771.5;0;3628837.78;15933.72;0;15000;0;100000;0;0;0;0;0;150798;265798
53.095.823/0001-04;2025-01-01;1;1018290.02;0;0;0;1018290.02;28117913.1;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;27563347.43;0;;0;0;0;5400.17;0;0;5400.17;0;44203.26;0;0;0;0;0;0;0;50305.87;94509.13
53.095.823/0001-04;2025-02-01;1;1493770.95;0;0;0;1493770.95;27347369.65;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;26792803.98;0;;0;0;0;4793.55;0;0;4793.55;0;41993.33;0;0;0;0;0;0;0;53871.16;95864.49
53.095.823/0001-04;2025-03-01;1;1497845.45;0;0;0;1497845.45;27308092.56;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;26753526.89;0;;0;0;0;10095.9;0;0;10095.9;0;40714.13;6199.75;0;0;0;0;0;0;57179.83;104093.71
53.095.823/0001-04;2025-04-01;1;763887.52;0;0;0;763887.52;28466417.12;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;27911851.45;0;;0;0;0;3300.99;0;0;3300.99;0;41902.18;37966.32;0;0;0;0;0;0;15763.56;95632.06
53.095.823/0001-04;2025-05-01;1;3486721.27;0;0;0;3486721.27;25853119.62;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;25298553.95;0;;0;0;0;11697.34;0;0;11697.34;0;43368.13;44871.35;0;0;0;0;0;0;19492.55;107732.03
53.095.823/0001-04;2025-06-01;1;656008.09;0;0;0;656008.09;28480983.27;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;27926417.6;0;;0;0;0;10730.22;0;0;10730.22;0;42112.41;29858.29;0;0;0;0;0;0;23096.14;95066.84
53.095.823/0001-04;2025-07-01;1;577186.42;0;0;0;577186.42;28032411.41;554565.67;0;0;0;554565.67;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;27477845.74;0;;0;0;0;9239.9;0;0;9239.9;0;45208.55;0;0;0;0;0;0;0;27141.73;72350.28
53.095.823/0001-04;2025-08-01;1;608015.46;0;0;0;608015.46;29085061.58;554565.67;0;554565.67;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;28530495.91;0;;0;0;0;8039.75;0;0;8039.75;0;43321.58;166695.76;0;0;0;0;0;0;31018.29;241035.63
53.095.823/0001-04;2025-09-01;1;1215979.18;0;0;0;1215979.18;28532976.36;554565.67;0;554565.67;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;27978410.69;0;;0;0;0;6782.45;0;0;6782.45;0;44752.47;153446.85;0;0;0;0;0;0;34876.12;233075.44
53.123.631/0001-64;2025-01-01;1;18107.37;18107.37;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-02-01;1;22836.36;22836.36;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;95;0;0;95;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-03-01;1;23609.53;23609.53;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-04-01;1;23561.98;23561.98;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;98.23;0;0;98.23;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-05-01;1;21158.23;21158.23;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-06-01;1;776.58;776.58;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;101.06;0;0;101.06;0;8000;0;4600000;0;0;0;0;0;10000;4618000
53.123.631/0001-64;2025-07-01;1;18237.84;18237.84;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;16000;0;4600000;0;0;0;0;0;20000;4636000
53.123.631/0001-64;2025-08-01;1;31895.97;31895.97;0;0;0;11765817;11765817;0;11765817;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;99.69;0;0;99.69;0;24000;0;4600000;0;0;0;0;0;30000;4654000
